set,source,model,n_test,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median,mbe_w_mean_final,mbe_c_mean_final,front_error_mean_cm,bt_mae_hours,n_breakthrough,run_dir
E6_extreme_peak_v1,shift_ood_peak,m1,78,0.38225437099362497,0.3360433598622899,0.3323604853201011,0.24481402353881343,20.52211570739746,205.56631469726562,13.145620773168844,13.164179104477611,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__shift_ood_peak
E6_extreme_peak_v1,shift_ood_peak,m2_data,78,0.3414501631548655,0.30441372580827875,0.27409289483869453,0.1992589816733177,21.87735939025879,200.0037384033203,10.967340713137963,7.7164179104477615,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__shift_ood_peak
E6_extreme_peak_v1,shift_ood_peak,m2_score,78,0.34094021915985084,0.317327600528732,0.2860723095367415,0.19945729346324675,24.361412048339844,168.32740783691406,11.382086461707129,13.507462686567164,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__shift_ood_peak
E6_extreme_peaktime_v1,iid_baseline,m1,29,0.5917541517839958,0.46062182622640746,0.45268825186599093,0.4028080176752561,39.456275939941406,81.6900863647461,23.94502502988671,15.28,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__iid_baseline
E6_extreme_peaktime_v1,iid_baseline,m2_data,29,0.4486048549431818,0.3218874244448866,0.3133910776143723,0.24019442255757698,27.221479415893555,102.37486267089844,12.92338765013537,14.76,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__iid_baseline
E6_extreme_peaktime_v1,iid_baseline,m2_score,29,0.49263370331522827,0.37119881895729057,0.34031977019519566,0.2648542334470936,23.691709518432617,101.52223205566406,14.178349075970381,16.0,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__iid_baseline
E6_extreme_peaktime_v1,iid_baseline,fnn,29,0.28595979063580956,0.21387912911075405,0.16746395418881585,0.13158682338270905,24.876514434814453,168.29708862304688,6.086827880256104,3.44,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__iid_baseline
E6_extreme_peaktime_v1,iid_baseline,fno,29,0.5616319500764371,0.5341078464473549,0.9553494650899693,0.4851512713551107,53.81139373779297,194.05923461914062,28.31984966034457,14.52,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__iid_baseline
E6_extreme_peaktime_v1,ood_peak_baseline,m1,29,0.2891987595441799,0.23395585032861194,0.2188892716866013,0.14809723119705653,18.513675689697266,136.1400146484375,7.3135860469558605,12.44,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline
E6_extreme_peaktime_v1,ood_peak_baseline,m2_data,29,0.27153313886286096,0.2133113664445223,0.18643250428186356,0.12472114601693128,20.438961029052734,128.32318115234375,7.001591055696294,8.0,24,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline
E6_extreme_peaktime_v1,ood_peak_baseline,m2_score,29,0.27153313886286096,0.2133113664445223,0.18643250428186356,0.12472114601693128,20.438961029052734,128.32318115234375,7.001591055696294,8.0,24,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline
E6_extreme_peaktime_v1,ood_peaktime_baseline,m1,29,0.2833598160518436,0.25432202731169945,0.20933462784381923,0.1901892293665415,10.955607414245605,142.33670043945312,8.225800499145008,14.44,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline
E6_extreme_peaktime_v1,ood_peaktime_baseline,m2_data,29,0.27110657602412414,0.25018254363568404,0.18981698458924667,0.16025029209044223,12.535585403442383,144.32191467285156,7.563762634083568,12.52,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline
E6_extreme_peaktime_v1,ood_peaktime_baseline,m2_score,29,0.27110657602412414,0.25018254363568404,0.18981698458924667,0.16025029209044223,12.535585403442383,144.32191467285156,7.563762634083568,12.52,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline
E6_extreme_peaktime_v1,regshift_e0_iid_s42,m1,29,0.2326207805113576,0.20766596931416323,0.20926457769534232,0.16832915086136502,11.807784080505371,178.63099670410156,8.395552705732964,16.76,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_e0_iid_s42
E6_extreme_peaktime_v1,regshift_e0_iid_s42,m2_data,29,0.23692663150392085,0.21666335555539956,0.17850246353222507,0.142313431741008,16.04007911682129,165.45533752441406,7.56883568425918,11.96,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_e0_iid_s42
